doc_id,lemma,supersense,matched_verb,verb_type,sentence
tolkien1955,pony,noun.animal,escape,agency,"Merry 's ponies had escaped altogether , and eventually ( having a good deal of sense ) they made their way to the Downs in search of Fatty Lumpkin ."
tolkien1955,horse,noun.animal,see,experience,"For the black horses can see , and the Riders can use men and other creatures as spies , as we found at Bree ."
tolkien1955,bird,noun.animal,tell,experience,"' The birds and beasts do not tell tales of that sort . ' “ The heirs of Elendil do not forget all things past , ' said Strider ; ' and many more things than I can tell are remembered in Rivendell ."
tolkien1955,pony,noun.animal,develop,agency,"Bill Ferny 's poor old pony was developing an unexpected talent for picking out a path , and for sparing its rider as many jolts as possible ."
tolkien1955,horse,noun.animal,leave,agency,He felt the quick heave and surge as the horse left the river and struggled up the stony path .
tolkien1955,spider,noun.animal,leave,agency,Yet even the most subtle spiders may leave a weak thread .
tolkien1955,tree,noun.plant,remember,both,"‘ But the Elves of this land were of a race strange to us of the silvan folk , and the trees and the grass do not now remember them ."
tolkien1955,bird,noun.animal,say,agency,"“ The birds again ! ' said Aragorn , pointing down ."
tolkien1955,duck,noun.animal,save,agency,A quick duck had saved him ; and he had felled his orc : a sturdy thrust with his Barrow - blade .
tolkien1955,tree,noun.plant,offer,agency,"He was thankful that they had not been caught on the ground ; but he felt that the trees offered little protection , except concealment ."
tolkien1955,tree,noun.plant,fail,both,"As you go down the water , ' he said , ' you will find that the trees will fail , and you will come to a barren country ."
tolkien1955,Swans,noun.animal,say,agency,‘ Swans ! ' said Sam . ' And mighty big ones too !
carpentier1956,dog,noun.animal,lose,both,"When their dog lost an eye in an encounter with a wild pig , they named him Poly- phemus in memory of the Cyclops whose lamentable fate they had read a hundred times around their camp - fire ."
crace1986,animal,noun.animal,do,agency,"He closed the gap between him and the horse , but it tired him and he was glad to tuck in behind ' Isra and let the animal do the work for the fifty meters before the final bend at the single tree towards the store ."
